2017-03-11 13:47:31,153 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.websystique.springmvc:SpringMVCHibernateManyToManyCRUDExample:1.0.0 @ Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\pom.xml.
2017-03-11 20:39:29,749 [Worker-189] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 20:39:29,756 [Worker-189] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 20:44:16,973 [Worker-185] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 20:44:16,979 [Worker-185] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 20:44:16,981 [Worker-185] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 20:44:16,987 [Worker-185] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 20:45:17,190 [Worker-187] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 20:45:17,200 [Worker-187] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 20:45:17,202 [Worker-187] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 20:45:17,212 [Worker-187] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 20:46:29,447 [Worker-188] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 20:46:29,452 [Worker-188] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 20:46:29,455 [Worker-188] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 20:46:29,461 [Worker-188] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 20:46:33,272 [Worker-185] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 20:46:33,278 [Worker-185] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 20:46:33,279 [Worker-185] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 20:46:33,284 [Worker-185] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 20:49:20,984 [Worker-193] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 20:49:20,994 [Worker-193] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 20:49:20,996 [Worker-193] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 20:49:21,006 [Worker-193] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 20:54:56,377 [Worker-192] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 20:54:56,383 [Worker-192] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 20:54:56,384 [Worker-192] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 20:54:56,392 [Worker-192] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 20:55:23,250 [Worker-198] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 20:55:23,260 [Worker-198] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 20:55:23,262 [Worker-198] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 20:55:23,270 [Worker-198] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 20:55:47,610 [Worker-198] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 20:55:47,616 [Worker-198] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 20:55:47,618 [Worker-198] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
